Ingredient,Frequency
"ARACHIDYL GLUCOSIDE",7
"DISODIUM COCOAMPHODIACETATE",7
"Diphenyl Dimethicone",7
"Mineral Oil(Paraffinum Liquidum)",7
"Microcrystalline Wax",7
"Origanum Vulgare Leaf Extract",7
"Lactobacillus/Soybean Ferment Extract",7
"Cinnamomum Cassia Bark Extract",7
"Capric Acid",7
"Euterpe Oleracea Fruit Extract",7
"Royal Jelly Extract",7
"Lactobacillus Ferment",7
"Citrus Paradisi (Grapefruit) Fruit Extract",7
"Rubus Idaeus (Raspberry) Fruit Extract",7
"HYDROLYZED RICE PROTEIN",7
"Copper Gluconate",7
"Melaleuca Alternifolia Leaf Oil",7
"Theobroma Cacao (Cocoa) Seed Extract",7
"Gellan Gum",7
"Olea Europaea Fruit Oil",7
"Edta",7
"Ceteareth-25",7
"Cocos Nucifera Oil",7
"Coco-Caprylate",7
"Methylchloroisothiazolinone",7
"Methylisothiazolinone",7
"Dimetikon",6
"Sodyum Setearil Sülfat",6
"Benzil Alkol",6
"Gliseril Stearat",6
"Ksantan Sakızı",6
"Sorbik Asit",6
"İnülin",6
"CI 47005",6
"Sodyum Laureth Sülfat",6
"Helianthus Annuus Seed Oil",6
"Glycyrrhetinic Acid",6
"PEG-120 METHYL GLUCOSE DIOLEATE",6
"ACETYL DIPEPTIDE-1 CETYL ESTER",6
"TOLUENE SULFONIC ACID",6
"ISOPROPYL TITANIUM TRIISOSTEARATE",6
"METHYL GLUCOSE SESQUISTEARATE",6
"ASCOPHYLLUM NODOSUM EXTRACT",6
"EVENING PRIMROSE OIL/PALM OIL AMINOPROPANEDIOL ESTERS",6
"CETEARETH-60 MYRISTYL GLYCOL",6
"MICROCRYSTALLINE WAX (CERA MICROCRISTALLINA)",6
"AQUAPHILUS DOLOMIAE FERMENT FILTRATE",6
"ZINC SULFATE",6
"BEESWAX (CERA ALBA)",6
"IRON OXIDES (CI 77492) (CI 77491) (CI 77499)",6
"PEG-6",6
"GLYCERYL LINOLENATE",6
"POLYGLYCERYL-4 CAPRATE",6
"SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL (SIMMONDSIA CHINENSIS SEED OIL)",6
"Ferulic Acid",6
"Polyglyceryl-3 Polyricinoleate",6
"Hydroxypropyl Methylcellulose Stearoxy Ether",6
"Ethyl Hexanediol",6
"Garcinia Mangostana Peel Extract",6
"Gardenia Taitensis Flower",6
"Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer",6
"Mentha Piperita (Peppermint) Leaf Extract",6
"Menthyl Lactate",6
"Citrus Aurantifolia (Lime) Oil",6
"Rubus Fruticosus (Blackberry) Fruit Extract",6
"Limonene [Greenery] Water(Aqua)",6
"Citral [Dazzling] Water(Aqua)",6
"Linalool Banana Water",6
"Musa Sapientum (Banana) Fruit Extract",6
"Eugenol",6
"Linalool Shea Butter Water",6
"Hydroxycitronellal Raspberry Water",6
"Hydrogenated Phosphatidylcholine",6
"Lactobacillus Ferment Lysate",6
"Cucumis Sativus (Cucumber) Fruit Extract",6
"Pinus Densiflora Leaf Extract",6
"Methyl Diisopropyl Propionamide",6
"CI 19140 / YELLOW 5",6
"2-OLEAMIDO-1",6
"3-OCTADECANEDIOL",6
"PPG-5-CETETH-20",6
"SELENIUM SULFIDE",6
"TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID",6
"Bifida Ferment Lysate",6
"Peg/ppg-120/10 Trimethylolpropane Trioleate",6
"PORIA COCOS EXTRACT",6
"Azelaic Acid",6
"Nonapeptide-1",6
"Macadamia Integrifolia Seed Oil",6
"000 ppm)",6
"Lonicera Japonica (Honeysuckle) Flower Extract",6
"Triticum Vulgare Germ Extract",6
"Tetra Sodium Edta",6
"Butyrospermum Parkii ( Shea) Butter",6
"C12-15 Alkil Benzoat",5
"Hydroxypropyl Starch Phosphate",5
"PEG-8",5
"Glycyrrhiza Inflata Root Extract",5
"Methyl Benzoate",5
"Agar",5
"Polyglyceryl-10 Stearate",5
"SARCOSINE",5
"PRUNUS ARMENIACA KERNEL OIL / APRICOT KERNEL OIL",5
"PEG-20 STEARATE",5
"PEG-40 STEARATE",5
"DIPOTASSIUM PHOSPHATE",5
"POLYACRYLATE CROSSPOLYMER-6",5
"JOJOBA ESTERS",5
"EQUISETUM ARVENSE EXTRACT",5
"LAURYL BETAINE",5
"SODIUM LAURYL GLUCOSE CARBOXYLATE",5
"C10-18 TRIGLYCERIDES",5
"TRIMETHYLPENTANEDIOL/ADIPIC ACID/GLYCERIN CROSSPOLYMER",5
"SILYBUM MARIANUM FRUIT EXTRACT",5
"VACCINIUM MYRTILLUS FRUIT EXTRACT",5
"SUCROSE COCOATE",5
"SODIUM DEXTRAN SULFATE",5
"LENS ESCULENTA (LENTIL) SEED EXTRACT (LENS ESCULENTA SEED EXTRACT)",5
"GLYCERYL LINOLEATE",5
"GLYCERYL PALMITATE",5
"PCA",5
"Hippophae Rhamnoides Extract",5
"3-Butanediol",5
"Cynanchum Atratum Extract",5
"Caprylhydroxamic Acid",5
"Angelica Gigas Root Extract",5
"Tricholoma Matsutake Extract",5
"Poly C10-30 Alkyl Acrylate",5
"Perfume",5
"CI 73360",5
"Polyvinyl Alcohol",5
"Ceteareth-23",5
"PEG-5 Rapeseed Sterol",5
"Brassica Campestris (Rapeseed) Sterols",5
"Ceteth-5",5
"Ceteth-3",5
